Event Time,Process Id,Process Name,Command Line,Creation Time,Account Name,Parent Process Id,Parent Process Name,Parent Command Line,Remote IP,Remote Port,Local IP,Local Port,Process Status,Process Integrity Level,Executable Path,SHA1,Read Count,Write Count
2025-01-26 21:09:52,16780,firefox.exe,C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -isForBrowser -prefsHandle 4524 -prefsLen 40073 -prefMapHandle 4528 -prefMapSize 268392 -jsInitHandle 4532 -jsInitLen 254356 -parentBuildID 20250120135430 -ipcHandle 4508 -initialChannelId {40359166-56c1-4837-b32d-b2d286c35322} -parentPid 13760 -crashReporter \\.\pipe\gecko-crash-server-pipe.13760 -win32kLockedDown -appDir C:\Program Files\Mozilla Firefox\browser - 5 tab,2025-01-26 20:09:02,LAPTOP-6O3JCTLT\LENOVO,13760,firefox.exe,C:\Program Files\Mozilla Firefox\firefox.exe,,,,,running,Normal,C:\Program Files\Mozilla Firefox\firefox.exe,89a70725fef65460f87c43f4c2f46eaade26c3eb,1832,3525
2025-01-26 21:09:52,16892,svchost.exe,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s StorSvc,2025-01-26 19:22:16,NT AUTHORITY\SYSTEM,1328,services.exe,C:\WINDOWS\system32\services.exe,,,,,running,Normal,C:\Windows\System32\svchost.exe,3f64c98f22da277a07cab248c44c56eedb796a81,8,0
2025-01-26 21:09:52,17128,conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0x4,2025-01-26 21:09:45,LAPTOP-6O3JCTLT\LENOVO,872,runasAdmin.exe,D:\cyber_security_final_year_project\Project Implementation\DesktopApp\test\logging\dist\runasAdmin.exe D:\cyber_security_final_year_project\Project Implementation\DesktopApp\test\logging\dist\runasAdmin.exe,,,,,running,Normal,C:\Windows\System32\conhost.exe,0027bb9f956056b469b1dfd7cebd23c53b8f6f79,12,0
2025-01-26 21:09:52,17136,msedge.exe,"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe --type=renderer --string-annotations --instant-process --pdf-upsell-enabled --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--ms-user-locale= --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=68 --time-ticks-at-unix-epoch=-1737899404379047 --launch-time-ticks=4405551317 --always-read-main-dll --field-trial-handle=4752,i,2061555011232612229,6147179023448215311,262144 --variations-seed-version --mojo-platform-channel-handle=7136 /prefetch:1",2025-01-26 20:33:29,LAPTOP-6O3JCTLT\LENOVO,17964,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe --no-startup-window --win-session-start --flag-switches-begin --flag-switches-end,,,,,running,Normal,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,c646d9b8426a0d7b4d6a2adf3cbdcd145254bd00,1580,2191
2025-01-26 21:09:52,17216,msedge.exe,"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe --type=renderer --string-annotations --pdf-upsell-enabled --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--ms-user-locale= --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=13 --time-ticks-at-unix-epoch=-1737899404379047 --launch-time-ticks=2911857045 --always-read-main-dll --field-trial-handle=6120,i,2061555011232612229,6147179023448215311,262144 --variations-seed-version --mojo-platform-channel-handle=6124 /prefetch:1",2025-01-26 20:08:36,LAPTOP-6O3JCTLT\LENOVO,17964,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe --no-startup-window --win-session-start --flag-switches-begin --flag-switches-end,,,,,running,Normal,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,c646d9b8426a0d7b4d6a2adf3cbdcd145254bd00,82,95
2025-01-26 21:09:52,17456,cmd.exe,C:\Windows\System32\cmd.exe,2025-01-26 20:14:43,LAPTOP-6O3JCTLT\LENOVO,9480,explorer.exe,C:\WINDOWS\Explorer.EXE,,,,,running,Normal,C:\Windows\System32\cmd.exe,c3c1646dd61ecdad25b3c288909a95e81fbc59d4,1,0
2025-01-26 21:09:52,17592,conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0x4,2025-01-26 20:08:58,LAPTOP-6O3JCTLT\LENOVO,1612,ModuleCoreService.exe,ModuleCoreService.exe /startUserModeHosting=2_1_TIME_TO_DIE /sessionId=2 /groupId=1,,,,,running,Normal,C:\Windows\System32\conhost.exe,0027bb9f956056b469b1dfd7cebd23c53b8f6f79,0,0
2025-01-26 21:09:52,17828,FileCoAuth.exe,C:\Users\LENOVO\AppData\Local\Microsoft\OneDrive\24.244.1204.0003\FileCoAuth.exe -Embedding,2025-01-26 20:19:16,LAPTOP-6O3JCTLT\LENOVO,1492,svchost.exe,C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p,,,,,running,Normal,C:\Users\LENOVO\AppData\Local\Microsoft\OneDrive\24.244.1204.0003\FileCoAuth.exe,f45b6cdf8215ad233f6f2ffd9281927218e78417,7,11
2025-01-26 21:09:52,17972,Locator.exe,C:\WINDOWS\system32\locator.exe,2025-01-26 19:27:48,NT AUTHORITY\NETWORK SERVICE,1328,services.exe,C:\WINDOWS\system32\services.exe,,,,,running,Normal,C:\Windows\System32\Locator.exe,7c48ee0ffbfd29a7e9bd55c74fd5cdc2757d6766,0,0
2025-01-26 21:09:52,18144,powershell.exe,"C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command try { . ""c:\Users\LENOVO\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}",2025-01-26 20:14:03,LAPTOP-6O3JCTLT\LENOVO,10180,Code.exe,"C:\Users\LENOVO\AppData\Local\Programs\Microsoft VS Code\Code.exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --video-capture-use-gpu-memory-buffer --user-data-dir=C:\Users\LENOVO\AppData\Roaming\Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=4008,i,4524504095230592636,17714388146891457910,262144 --disable-features=CalculateNativeWinOcclusion,PlzDedicatedWorker,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --mojo-platform-channel-handle=4072 /prefetch:14",,,,,running,Normal,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,7c04ec2377e32b3c7742f581f6c5437464dd2cf2,186,2
